Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
Hälso- och sjukvård samt socialt arbete,Apotekstekniker,Östergötland,Linköping,1,False,300,Lernia Utbildning AB,2020,MYH 2020/5130
Hälso- och sjukvård samt socialt arbete,Barnspecialiserad undersköterska med inriktning mot funktionsnedsättning,Värmland,Karlstad,1,False,200,"Karlstads kommun, Yrkeshögskolan",2020,MYH 2020/5393
Hälso- och sjukvård samt socialt arbete,Behandlingsassistent,Värmland,Forshaga,1,False,400,"Forshaga kommun, Forshaga Yrkeshögskola",2020,MYH 2020/5189
Hälso- och sjukvård samt socialt arbete,Behandlingspedagog,Södermanland,Nyköping,1,False,400,Campus Nyköping,2020,MYH 2020/3237
Hälso- och sjukvård samt socialt arbete,Behandlingspedagog ,Västernorrland,Sundsvall,1,False,400,YrkesAkademin YH AB,2020,MYH 2020/5359
Hälso- och sjukvård samt socialt arbete,Behandlingspedagog - Neuropsykiatriska funktionsnedsättningar,Jönköping,Eksjö,1,False,400,Högskolan för lärande och kommunikation i Jönköping AB,2020,MYH 2020/5288
Hälso- och sjukvård samt socialt arbete,Behandlingspedagog/socialpedagog,Stockholm,Stockholm,1,False,400,Stadsmissionens Yrkeshögskola,2020,MYH 2020/5318
Hälso- och sjukvård samt socialt arbete,Demens- och äldrepsykiatrispecialiserad undersköterska,Västerbotten,Skellefteå,1,False,200,Skellefteå kommun Vuxenutbildningen,2020,MYH 2020/3833
Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,Stockholm,Stockholm,1,False,315,Plushögskolan AB - Vårdyrkeshögskolan,2020,MYH 2020/4454
Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,Västerbotten,Umeå,1,False,315,Plushögskolan AB - Vårdyrkeshögskolan,2020,MYH 2020/4298
Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,Västra Götaland,Göteborg,1,False,315,Hermods AB Göteborg,2020,MYH 2020/3806
Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker ,Flera kommuner,Flera kommuner,2,True,315,Plushögskolan AB - Vårdyrkeshögskolan,2020,MYH 2020/4448
Hälso- och sjukvård samt socialt arbete,Integrationspedagog med arbetsmarknadskompetens,Gävleborg,Hudiksvall,1,False,225,Hudiksvall kommun CUL,2020,MYH 2020/4648
Hälso- och sjukvård samt socialt arbete,Medicinsk Fotterapeut,Jönköping,Tranås,1,False,300,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4799
Hälso- och sjukvård samt socialt arbete,Medicinsk Fotterapeut,Västernorrland,Örnsköldsvik,1,False,300,Kunskap & Kompetens i Sverige AB,2020,MYH 2020/5488
Hälso- och sjukvård samt socialt arbete,Medicinsk Fotterapeut,Västra Götaland,Göteborg,1,False,300,"Göteborgs Stad, Yrgo",2020,MYH 2020/5464
Hälso- och sjukvård samt socialt arbete,Psykiatrispecialiserad undersköterska / Skötare / Boendestödjare,Kronoberg,Växjö,1,False,200,"Region Kronoberg, YH Region Kronoberg",2020,MYH 2020/4594
Hälso- och sjukvård samt socialt arbete,Psykiatrispecialiserad Undersköterska/Skötare/Stödpedagog,Flera kommuner,Flera kommuner,2,True,200,"Göteborgs Stad, Yrgo",2020,MYH 2020/5461
Hälso- och sjukvård samt socialt arbete,"Skötare i psykiatrisk verksamhet för barn, unga och vuxna",Dalarna,Säter,1,False,400,"Region Dalarna, Psykiatrins Utvecklingsenhet",2020,MYH 2020/4688
Hälso- och sjukvård samt socialt arbete,Socialpedagog,Jämtland,Östersund,1,False,400,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,2020,MYH 2020/5348
Hälso- och sjukvård samt socialt arbete,Socialpedagog med särskild kompetens inom KBT,Halland,Halmstad,1,False,400,Sverigehälsan AB,2020,MYH 2020/5571
Hälso- och sjukvård samt socialt arbete,Specialist undersköterska - Palliativ vård ,Jönköping,Jönköping,1,False,210,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4942
Hälso- och sjukvård samt socialt arbete,Specialistundersköterska - äldre och välfärdsteknik,Flera kommuner,Flera kommuner,3,True,200,"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",2020,MYH 2020/5341
Hälso- och sjukvård samt socialt arbete,Specialistundersköterska anestesi- och operationssjukvård,Östergötland,Linköping,1,False,200,Östsvenska Yrkeshögskolan AB,2020,MYH 2020/5006
Hälso- och sjukvård samt socialt arbete,Specialistundersköterska barn och ungdomssjukvård,Kronoberg,Växjö,1,False,200,"Region Kronoberg, YH Region Kronoberg",2020,MYH 2020/4572
Hälso- och sjukvård samt socialt arbete,Specialistundersköterska inom barnsjukvård,Västernorrland,Sundsvall,1,False,210,"Sundsvalls kommun, Vuxenutbildningen",2020,MYH 2020/5202
Hälso- och sjukvård samt socialt arbete,Specialistundersköterska inom kvalificerad sjukvård,Skåne,Båstad,1,False,200,Båstad kommun Akademi Båstad,2020,MYH 2020/5828
